sg_idx,case,sample_rank,recon_index,node,row_type,matched_mse_mean,matched_mse_node,cosine_similarity,case_mse_mean,case_mse_var,case_cosine_similarity_mean,case_cosine_similarity_var
0,case1_exact_pattern,1,1,2,node,2.214714057914288e-08,7.512435764959338e-08,0.9827536761111695,,,,
0,case1_exact_pattern,1,1,3,node,2.214714057914288e-08,1.3464204666978139e-08,0.8887166232949661,,,,
0,case1_exact_pattern,1,1,6,node,2.214714057914288e-08,2.1754584349800394e-34,0.9999999999999746,,,,
0,case1_exact_pattern,1,1,9,node,2.214714057914288e-08,7.742762511321813e-35,0.9999999999999751,,,,
0,case1_exact_pattern,1,1,mean,sample_mean,2.214714057914288e-08,2.214714057914288e-08,0.9678675748515213,,,,
0,case1_exact_pattern,2,2,2,node,9.004933920253503e-09,3.11726220009019e-08,0.9845770214450598,,,,
0,case1_exact_pattern,2,2,3,node,9.004933920253503e-09,4.847113680112109e-09,0.9809362592740596,,,,
0,case1_exact_pattern,2,2,6,node,9.004933920253503e-09,9.553907541730481e-36,0.9999999999999748,,,,
0,case1_exact_pattern,2,2,9,node,9.004933920253503e-09,2.6615954127726913e-34,0.9999999999999747,,,,
0,case1_exact_pattern,2,2,mean,sample_mean,9.004933920253503e-09,9.004933920253503e-09,0.9913783201797672,,,,
0,case1_exact_pattern,3,3,2,node,2.30702177666502e-09,9.22808710666008e-09,0.8786958703120099,,,,
0,case1_exact_pattern,3,3,3,node,2.30702177666502e-09,1.1206471418488785e-34,0.9999999999999735,,,,
0,case1_exact_pattern,3,3,6,node,2.30702177666502e-09,1.5033067418757126e-34,0.9999999999999744,,,,
0,case1_exact_pattern,3,3,9,node,2.30702177666502e-09,3.6887744894900604e-34,0.9999999999999749,,,,
0,case1_exact_pattern,3,3,mean,sample_mean,2.30702177666502e-09,2.30702177666502e-09,0.9696739675779831,,,,
0,case1_exact_pattern,4,4,2,node,2.585156245667223e-08,8.99420451597108e-08,-0.09560060625059832,,,,
0,case1_exact_pattern,4,4,3,node,2.585156245667223e-08,1.3464204666978118e-08,0.9909669076164032,,,,
0,case1_exact_pattern,4,4,6,node,2.585156245667223e-08,3.1584618506467665e-35,0.9999999999999748,,,,
0,case1_exact_pattern,4,4,9,node,2.585156245667223e-08,1.951567363334105e-34,0.9999999999999749,,,,
0,case1_exact_pattern,4,4,mean,sample_mean,2.585156245667223e-08,2.585156245667223e-08,0.7238415753414387,,,,
0,case1_exact_pattern,5,5,2,node,1.4312758466209457e-06,1.2088027285295925e-07,0.7501049685971422,,,,
0,case1_exact_pattern,5,5,3,node,1.4312758466209457e-06,1.0906005780252276e-06,0.9556174816265144,,,,
0,case1_exact_pattern,5,5,6,node,1.4312758466209457e-06,7.52973592290905e-36,0.9999999999999745,,,,
0,case1_exact_pattern,5,5,9,node,1.4312758466209457e-06,4.513622535605596e-06,0.919983090868674,,,,
0,case1_exact_pattern,5,5,mean,sample_mean,1.4312758466209457e-06,1.4312758466209457e-06,0.9064263852730763,,,,
0,case1_exact_pattern,6,6,2,node,1.2994987199284896e-07,1.2088027285295915e-07,0.7501049685971428,,,,
0,case1_exact_pattern,6,6,3,node,1.2994987199284896e-07,1.21177842002803e-07,0.9737751992053179,,,,
0,case1_exact_pattern,6,6,6,node,1.2994987199284896e-07,7.208893962967317e-36,0.9999999999999746,,,,
0,case1_exact_pattern,6,6,9,node,1.2994987199284896e-07,2.777413731156337e-07,0.8447963577467666,,,,
0,case1_exact_pattern,6,6,mean,sample_mean,1.2994987199284896e-07,1.2994987199284896e-07,0.8921691313873005,,,,
0,case1_exact_pattern,7,7,2,node,6.916705766872882e-07,1.2088027285295912e-07,0.7501049685971446,,,,
0,case1_exact_pattern,7,7,3,node,6.916705766872882e-07,1.0906005780252265e-06,0.9556174816265144,,,,
0,case1_exact_pattern,7,7,6,node,6.916705766872882e-07,5.385421572527318e-35,0.999999999999975,,,,
0,case1_exact_pattern,7,7,9,node,6.916705766872882e-07,1.5552014558709672e-06,0.9192079250658103,,,,
0,case1_exact_pattern,7,7,mean,sample_mean,6.916705766872882e-07,6.916705766872882e-07,0.9062325938223611,,,,
0,case1_exact_pattern,8,8,2,node,3.076213881222458e-07,1.208802728529591e-07,0.7501049685971457,,,,
0,case1_exact_pattern,8,8,3,node,3.076213881222458e-07,1.0906005780252278e-06,0.9556174816265139,,,,
0,case1_exact_pattern,8,8,6,node,3.076213881222458e-07,7.5300770965666e-36,0.9999999999999748,,,,
0,case1_exact_pattern,8,8,9,node,3.076213881222458e-07,1.900470161079647e-08,0.8906019796165899,,,,
0,case1_exact_pattern,8,8,mean,sample_mean,3.076213881222458e-07,3.076213881222458e-07,0.8990811074600561,,,,
0,case1_exact_pattern,9,9,2,node,4.330855598346498e-07,1.2088027285295915e-07,0.7501049685971461,,,,
0,case1_exact_pattern,9,9,3,node,4.330855598346498e-07,1.0906005780252276e-06,0.9556174816265139,,,,
0,case1_exact_pattern,9,9,6,node,4.330855598346498e-07,2.1800470835377083e-35,0.9999999999999748,,,,
0,case1_exact_pattern,9,9,9,node,4.330855598346498e-07,5.208613884604124e-07,0.9172177198870041,,,,
0,case1_exact_pattern,9,9,mean,sample_mean,4.330855598346498e-07,4.330855598346498e-07,0.9057350425276598,,,,
