sg_idx,case,sample_rank,recon_index,node,label,row_type,matched_mse_mean,matched_mse_node,cosine_similarity,rouge_l,recovered_text,ground_truth_text,case_mse_mean,case_mse_var,case_cosine_similarity_mean,case_cosine_similarity_var,case_rouge_l_mean,case_rouge_l_var
0,case1_exact_pattern,1,1,2,1,node,2.214714057914288e-08,7.512435764959338e-08,0.9827536761111695,0.5,Crunch berries!                                                       Who can do     Tired?,Crunch berries!  im tired. Who wants to do something tomorrow?,,,,,,
0,case1_exact_pattern,1,1,3,1,node,2.214714057914288e-08,1.3464204666978139e-08,0.8887166232949661,0.4,What band are they on?  Lamalame is a really good music band.                                                      ,@LAmale really? They're a band...  good music!,,,,,,
0,case1_exact_pattern,1,1,6,0,node,2.214714057914288e-08,2.1754584349800394e-34,0.9999999999999746,1.0,Where are all the banana slugs?                                                           ,Where are all the banana slugs? ,,,,,,
0,case1_exact_pattern,1,1,9,0,node,2.214714057914288e-08,7.742762511321813e-35,0.9999999999999751,0.3225806451612903,mmmm                                                        Why can't anyone find them   They hurt,@Jack_thm aww why not?! Heck they do the job! I can't find those anywhere nemore either!!  ur ipod ones hurt!!!,,,,,,
0,case1_exact_pattern,2,2,2,1,node,9.004933920253503e-09,3.11726220009019e-08,0.9845770214450598,0.888888888888889,Crunch berries!                                                       Who wants to do something tomorrow?,Crunch berries!  im tired. Who wants to do something tomorrow?,,,,,,
0,case1_exact_pattern,2,2,3,1,node,9.004933920253503e-09,4.847113680112109e-09,0.9809362592740596,0.7999999999999999,"Really, they're a good band!                                                          Music?",@LAmale really? They're a band...  good music!,,,,,,
0,case1_exact_pattern,2,2,6,0,node,9.004933920253503e-09,9.553907541730481e-36,0.9999999999999748,1.0,Where are all the banana slugs?                                                           ,Where are all the banana slugs? ,,,,,,
0,case1_exact_pattern,2,2,9,0,node,9.004933920253503e-09,2.6615954127726913e-34,0.9999999999999747,0.3225806451612903,mmmm                                                        Why can't anyone find them   They hurt,@Jack_thm aww why not?! Heck they do the job! I can't find those anywhere nemore either!!  ur ipod ones hurt!!!,,,,,,
0,case1_exact_pattern,3,3,2,1,node,2.30702177666502e-09,9.22808710666008e-09,0.8786958703120099,0.5555555555555556,Who wants to do a cranberry crunch tomorrow?                                                         ,Crunch berries!  im tired. Who wants to do something tomorrow?,,,,,,
0,case1_exact_pattern,3,3,3,1,node,2.30702177666502e-09,1.1206471418488785e-34,0.9999999999999735,0.625,@Lameah... They're a really good band!                                                        music,@LAmale really? They're a band...  good music!,,,,,,
0,case1_exact_pattern,3,3,6,0,node,2.30702177666502e-09,1.5033067418757126e-34,0.9999999999999744,1.0,Where are all the banana slugs?                                                           ,Where are all the banana slugs? ,,,,,,
