group,dp_mode,dp_epsilon,step1_mode,r,rho_source,rho_assumed,rho_true,rho_bound_valid,rho_failure_probability,noisy_beta,noisy_step1_rows,last_step1_error,t0_path,t0_5_path,t1_path,n_honest,n_corrupt,found_num_vectors,true_vectors_matched,true_vectors_all_found,reconstruction_count,gradient_mse,gradient_cosine_similarity,step1_time,step2_time,resample_count,status
model_avg_ni500_N10_z0_e10,none,0.0,noisy,4,zero_exact_relation,0,0,True,1e-05,1,2,,models_dp/model_avg_ni500_N10_t0_z0_e10.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10.pkl,4,6,1152,4,True,30,2.1944168524100095e-30,1.0000000000000004,0.174781,0.151559,0,ok
model_avg_ni500_N10_z0_e10_aggregate_ep10000p0,aggregate,10000.0,noisy,4,gaussian_union_bound,588490538,280624761,True,1e-05,1471226345,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_aggregate_ep10000p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_aggregate_ep10000p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_aggregate_ep10000p0.pkl,4,6,4096,2,False,0,,,0.001271,1.741925,0,partial_found
model_avg_ni500_N10_z0_e10_aggregate_ep1000p0,aggregate,1000.0,noisy,4,gaussian_union_bound,5884905149,3900588236,True,1e-05,14712262873,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_aggregate_ep1000p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_aggregate_ep1000p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_aggregate_ep1000p0.pkl,4,6,4096,2,False,0,,,0.001568,1.718889,0,partial_found
model_avg_ni500_N10_z0_e10_aggregate_ep100p0,aggregate,100.0,noisy,4,gaussian_union_bound,58849051259,25866887930,True,1e-05,147122628148,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_aggregate_ep100p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_aggregate_ep100p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_aggregate_ep100p0.pkl,4,6,4096,1,False,0,,,0.00119,1.818166,0,partial_found
model_avg_ni500_N10_z0_e10_aggregate_ep200p0,aggregate,200.0,noisy,4,gaussian_union_bound,29424525642,13860873893,True,1e-05,73561314105,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_aggregate_ep200p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_aggregate_ep200p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_aggregate_ep200p0.pkl,4,6,4096,2,False,0,,,0.00182,1.761364,0,partial_found
model_avg_ni500_N10_z0_e10_aggregate_ep500p0,aggregate,500.0,noisy,4,gaussian_union_bound,11769810272,4977568646,True,1e-05,29424525680,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_aggregate_ep500p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_aggregate_ep500p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_aggregate_ep500p0.pkl,4,6,4096,2,False,0,,,0.001104,1.722499,0,partial_found
model_avg_ni500_N10_z0_e10_aggregate_ep50p0,aggregate,50.0,noisy,4,gaussian_union_bound,117698102492,49595378526,True,1e-05,294245256230,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_aggregate_ep50p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_aggregate_ep50p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_aggregate_ep50p0.pkl,4,6,4096,2,False,0,,,0.001234,1.798151,0,partial_found
model_avg_ni500_N10_z0_e10_exchange_ep10000p0,exchange,10000.0,noisy,4,zero_exact_relation,0,0,True,1e-05,1,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_exchange_ep10000p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_exchange_ep10000p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_exchange_ep10000p0.pkl,4,6,1152,4,True,30,2.2321588827589282e-30,0.9999999999999997,0.001273,0.149326,0,ok
model_avg_ni500_N10_z0_e10_exchange_ep1000p0,exchange,1000.0,noisy,4,zero_exact_relation,0,0,True,1e-05,1,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_exchange_ep1000p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_exchange_ep1000p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_exchange_ep1000p0.pkl,4,6,1152,4,True,30,5.779753026952991e-30,1.0,0.0017,0.163597,0,ok
model_avg_ni500_N10_z0_e10_exchange_ep100p0,exchange,100.0,noisy,4,zero_exact_relation,0,0,True,1e-05,1,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_exchange_ep100p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_exchange_ep100p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_exchange_ep100p0.pkl,4,6,1152,4,True,30,3.6077757854355222e-28,0.9999999999999999,0.001189,0.166287,0,ok
model_avg_ni500_N10_z0_e10_exchange_ep10p0,exchange,10.0,noisy,4,zero_exact_relation,0,0,True,1e-05,1,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_exchange_ep10p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_exchange_ep10p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_exchange_ep10p0.pkl,4,6,1152,4,True,30,3.5857039951468155e-26,1.0,0.001433,0.163045,0,ok
model_avg_ni500_N10_z0_e10_exchange_ep200p0,exchange,200.0,noisy,4,zero_exact_relation,0,0,True,1e-05,1,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_exchange_ep200p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_exchange_ep200p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_exchange_ep200p0.pkl,4,6,1152,4,True,30,9.184630248537095e-29,1.0,0.001146,0.20232,0,ok
model_avg_ni500_N10_z0_e10_exchange_ep500p0,exchange,500.0,noisy,4,zero_exact_relation,0,0,True,1e-05,1,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_exchange_ep500p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_exchange_ep500p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_exchange_ep500p0.pkl,4,6,1152,4,True,30,1.6539711739610183e-29,1.0,0.001291,0.169687,0,ok
model_avg_ni500_N10_z0_e10_exchange_ep50p0,exchange,50.0,noisy,4,zero_exact_relation,0,0,True,1e-05,1,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_exchange_ep50p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_exchange_ep50p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_exchange_ep50p0.pkl,4,6,1152,4,True,30,1.4364147898837179e-27,1.0000000000000002,0.001026,0.157572,0,ok
