group,dp_mode,dp_epsilon,t0_path,t0_5_path,t1_path,n_honest,n_corrupt,found_num_vectors,true_vectors_matched,true_vectors_all_found,reconstruction_count,gradient_mse,gradient_cosine_similarity,step1_time,step2_time,resample_count,status
model_avg_ni500_N10_z0_e10,none,0.0,models_dp/model_avg_ni500_N10_t0_z0_e10.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10.pkl,4,6,1152,4,True,30,2.1944168524100095e-30,1.0000000000000004,0.173688,0.168357,0,ok
model_avg_ni500_N10_z0_e10_aggregate_ep10000p0,aggregate,10000.0,models_dp/model_avg_ni500_N10_t0_z0_e10_aggregate_ep10000p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_aggregate_ep10000p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_aggregate_ep10000p0.pkl,4,6,0,0,False,0,,,0.000531,0.000703,6,no_found
model_avg_ni500_N10_z0_e10_aggregate_ep1000p0,aggregate,1000.0,models_dp/model_avg_ni500_N10_t0_z0_e10_aggregate_ep1000p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_aggregate_ep1000p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_aggregate_ep1000p0.pkl,4,6,0,0,False,0,,,0.000503,0.000669,6,no_found
model_avg_ni500_N10_z0_e10_aggregate_ep100p0,aggregate,100.0,models_dp/model_avg_ni500_N10_t0_z0_e10_aggregate_ep100p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_aggregate_ep100p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_aggregate_ep100p0.pkl,4,6,0,0,False,0,,,0.00052,0.000772,6,no_found
model_avg_ni500_N10_z0_e10_aggregate_ep200p0,aggregate,200.0,models_dp/model_avg_ni500_N10_t0_z0_e10_aggregate_ep200p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_aggregate_ep200p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_aggregate_ep200p0.pkl,4,6,0,0,False,0,,,0.000468,0.000711,6,no_found
model_avg_ni500_N10_z0_e10_aggregate_ep500p0,aggregate,500.0,models_dp/model_avg_ni500_N10_t0_z0_e10_aggregate_ep500p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_aggregate_ep500p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_aggregate_ep500p0.pkl,4,6,0,0,False,0,,,0.00072,0.000692,6,no_found
model_avg_ni500_N10_z0_e10_aggregate_ep50p0,aggregate,50.0,models_dp/model_avg_ni500_N10_t0_z0_e10_aggregate_ep50p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_aggregate_ep50p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_aggregate_ep50p0.pkl,4,6,0,0,False,0,,,0.000463,0.000663,6,no_found
model_avg_ni500_N10_z0_e10_exchange_ep10000p0,exchange,10000.0,models_dp/model_avg_ni500_N10_t0_z0_e10_exchange_ep10000p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_exchange_ep10000p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_exchange_ep10000p0.pkl,4,6,1152,4,True,30,2.2321588827589282e-30,0.9999999999999997,0.000532,0.163632,0,ok
model_avg_ni500_N10_z0_e10_exchange_ep1000p0,exchange,1000.0,models_dp/model_avg_ni500_N10_t0_z0_e10_exchange_ep1000p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_exchange_ep1000p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_exchange_ep1000p0.pkl,4,6,1152,4,True,30,5.779753026952991e-30,1.0,0.000595,0.173419,0,ok
model_avg_ni500_N10_z0_e10_exchange_ep100p0,exchange,100.0,models_dp/model_avg_ni500_N10_t0_z0_e10_exchange_ep100p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_exchange_ep100p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_exchange_ep100p0.pkl,4,6,1152,4,True,30,3.6077757854355222e-28,0.9999999999999999,0.00063,0.176724,0,ok
model_avg_ni500_N10_z0_e10_exchange_ep10p0,exchange,10.0,models_dp/model_avg_ni500_N10_t0_z0_e10_exchange_ep10p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_exchange_ep10p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_exchange_ep10p0.pkl,4,6,1152,4,True,30,3.5857039951468155e-26,1.0,0.0006,0.1635,0,ok
model_avg_ni500_N10_z0_e10_exchange_ep200p0,exchange,200.0,models_dp/model_avg_ni500_N10_t0_z0_e10_exchange_ep200p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_exchange_ep200p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_exchange_ep200p0.pkl,4,6,1152,4,True,30,9.184630248537095e-29,1.0,0.000764,0.179256,0,ok
model_avg_ni500_N10_z0_e10_exchange_ep500p0,exchange,500.0,models_dp/model_avg_ni500_N10_t0_z0_e10_exchange_ep500p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_exchange_ep500p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_exchange_ep500p0.pkl,4,6,1152,4,True,30,1.6539711739610183e-29,1.0,0.00086,0.162318,0,ok
model_avg_ni500_N10_z0_e10_exchange_ep50p0,exchange,50.0,models_dp/model_avg_ni500_N10_t0_z0_e10_exchange_ep50p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_exchange_ep50p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_exchange_ep50p0.pkl,4,6,1152,4,True,30,1.4364147898837179e-27,1.0000000000000002,0.000588,0.169547,0,ok
