num_nodes,mean_degree,topology,corrupt_ratio,core_honest_size,count,probability
100,4,er,0.2,2,2,1.0
100,4,er,0.3,2,11,0.9166666666666666
100,4,er,0.3,4,1,0.08333333333333333
100,4,er,0.4,2,15,0.9375
100,4,er,0.4,4,1,0.0625
100,4,er,0.5,2,14,0.16091954022988506
100,4,er,0.5,3,5,0.05747126436781609
100,4,er,0.5,4,2,0.022988505747126436
100,4,er,0.5,33,2,0.022988505747126436
100,4,er,0.5,34,1,0.011494252873563218
100,4,er,0.5,35,3,0.034482758620689655
100,4,er,0.5,36,5,0.05747126436781609
100,4,er,0.5,37,7,0.08045977011494253
100,4,er,0.5,38,3,0.034482758620689655
100,4,er,0.5,39,5,0.05747126436781609
100,4,er,0.5,40,11,0.12643678160919541
100,4,er,0.5,41,9,0.10344827586206896
100,4,er,0.5,42,9,0.10344827586206896
100,4,er,0.5,43,5,0.05747126436781609
100,4,er,0.5,44,5,0.05747126436781609
100,4,er,0.5,46,1,0.011494252873563218
100,4,er,0.6,2,26,0.1984732824427481
100,4,er,0.6,3,4,0.030534351145038167
100,4,er,0.6,6,1,0.007633587786259542
100,4,er,0.6,25,1,0.007633587786259542
100,4,er,0.6,26,1,0.007633587786259542
100,4,er,0.6,27,2,0.015267175572519083
100,4,er,0.6,28,4,0.030534351145038167
100,4,er,0.6,29,4,0.030534351145038167
100,4,er,0.6,30,4,0.030534351145038167
100,4,er,0.6,31,9,0.06870229007633588
100,4,er,0.6,32,10,0.07633587786259542
100,4,er,0.6,33,12,0.0916030534351145
100,4,er,0.6,34,14,0.10687022900763359
100,4,er,0.6,35,12,0.0916030534351145
100,4,er,0.6,36,8,0.061068702290076333
100,4,er,0.6,37,13,0.09923664122137404
100,4,er,0.6,38,4,0.030534351145038167
100,4,er,0.6,39,2,0.015267175572519083
100,4,er,0.7,2,26,0.18705035971223022
100,4,er,0.7,3,11,0.07913669064748201
100,4,er,0.7,5,1,0.007194244604316547
100,4,er,0.7,10,1,0.007194244604316547
100,4,er,0.7,13,1,0.007194244604316547
100,4,er,0.7,16,1,0.007194244604316547
100,4,er,0.7,17,1,0.007194244604316547
100,4,er,0.7,19,3,0.02158273381294964
100,4,er,0.7,20,2,0.014388489208633094
100,4,er,0.7,21,1,0.007194244604316547
100,4,er,0.7,22,4,0.02877697841726619
100,4,er,0.7,23,8,0.05755395683453238
100,4,er,0.7,24,12,0.08633093525179857
100,4,er,0.7,25,16,0.11510791366906475
100,4,er,0.7,26,18,0.12949640287769784
100,4,er,0.7,27,17,0.1223021582733813
100,4,er,0.7,28,8,0.05755395683453238
100,4,er,0.7,29,4,0.02877697841726619
100,4,er,0.7,30,4,0.02877697841726619
100,4,er,0.8,2,34,0.2138364779874214
100,4,er,0.8,3,15,0.09433962264150944
100,4,er,0.8,4,9,0.05660377358490566
100,4,er,0.8,5,1,0.006289308176100629
100,4,er,0.8,6,1,0.006289308176100629
100,4,er,0.8,7,1,0.006289308176100629
100,4,er,0.8,8,2,0.012578616352201259
100,4,er,0.8,9,4,0.025157232704402517
100,4,er,0.8,10,5,0.031446540880503145
100,4,er,0.8,11,5,0.031446540880503145
100,4,er,0.8,12,4,0.025157232704402517
100,4,er,0.8,13,7,0.0440251572327044
100,4,er,0.8,14,6,0.03773584905660377
100,4,er,0.8,15,21,0.1320754716981132
100,4,er,0.8,16,6,0.03773584905660377
100,4,er,0.8,17,17,0.1069182389937107
100,4,er,0.8,18,9,0.05660377358490566
100,4,er,0.8,19,9,0.05660377358490566
100,4,er,0.8,20,3,0.018867924528301886
100,4,er,0.9,2,78,0.44571428571428573
100,4,er,0.9,3,26,0.14857142857142858
100,4,er,0.9,4,23,0.13142857142857142
100,4,er,0.9,5,13,0.07428571428571429
100,4,er,0.9,6,10,0.05714285714285714
100,4,er,0.9,7,8,0.045714285714285714
100,4,er,0.9,8,7,0.04
100,4,er,0.9,9,7,0.04
100,4,er,0.9,10,3,0.017142857142857144
100,4,ring,0.1,2,2,1.0
100,4,ring,0.2,2,11,0.7333333333333333
100,4,ring,0.2,3,1,0.06666666666666667
100,4,ring,0.2,5,2,0.13333333333333333
100,4,ring,0.2,7,1,0.06666666666666667
100,4,ring,0.3,2,43,0.5443037974683544
100,4,ring,0.3,3,9,0.11392405063291139
100,4,ring,0.3,4,6,0.0759493670886076
100,4,ring,0.3,5,6,0.0759493670886076
100,4,ring,0.3,6,4,0.05063291139240506
100,4,ring,0.3,7,6,0.0759493670886076
100,4,ring,0.3,8,2,0.02531645569620253
100,4,ring,0.3,10,1,0.012658227848101266
100,4,ring,0.3,11,2,0.02531645569620253
100,4,ring,0.4,2,88,0.43564356435643564
100,4,ring,0.4,3,26,0.12871287128712872
100,4,ring,0.4,4,15,0.07425742574257425
100,4,ring,0.4,5,14,0.06930693069306931
100,4,ring,0.4,6,14,0.06930693069306931
100,4,ring,0.4,7,9,0.04455445544554455
100,4,ring,0.4,8,9,0.04455445544554455
100,4,ring,0.4,9,6,0.0297029702970297
100,4,ring,0.4,10,5,0.024752475247524754
100,4,ring,0.4,11,6,0.0297029702970297
100,4,ring,0.4,12,2,0.009900990099009901
100,4,ring,0.4,13,2,0.009900990099009901
100,4,ring,0.4,14,1,0.0049504950495049506
100,4,ring,0.4,16,2,0.009900990099009901
100,4,ring,0.4,19,2,0.009900990099009901
100,4,ring,0.4,20,1,0.0049504950495049506
100,4,ring,0.5,2,100,0.2570694087403599
100,4,ring,0.5,3,63,0.16195372750642673
100,4,ring,0.5,4,47,0.12082262210796915
100,4,ring,0.5,5,21,0.05398457583547558
100,4,ring,0.5,6,28,0.07197943444730077
100,4,ring,0.5,7,13,0.033419023136246784
100,4,ring,0.5,8,16,0.04113110539845758
100,4,ring,0.5,9,20,0.05141388174807198
100,4,ring,0.5,10,12,0.030848329048843187
100,4,ring,0.5,11,9,0.02313624678663239
100,4,ring,0.5,12,11,0.028277634961439587
100,4,ring,0.5,13,7,0.017994858611825194
100,4,ring,0.5,14,5,0.012853470437017995
100,4,ring,0.5,15,6,0.015424164524421594
100,4,ring,0.5,16,8,0.02056555269922879
100,4,ring,0.5,17,1,0.002570694087403599
100,4,ring,0.5,18,7,0.017994858611825194
100,4,ring,0.5,19,3,0.007712082262210797
100,4,ring,0.5,21,2,0.005141388174807198
100,4,ring,0.5,22,3,0.007712082262210797
100,4,ring,0.5,23,1,0.002570694087403599
100,4,ring,0.5,25,2,0.005141388174807198
100,4,ring,0.5,27,2,0.005141388174807198
100,4,ring,0.5,29,1,0.002570694087403599
100,4,ring,0.5,38,1,0.002570694087403599
100,4,ring,0.6,2,124,0.22794117647058823
100,4,ring,0.6,3,73,0.13419117647058823
100,4,ring,0.6,4,69,0.12683823529411764
100,4,ring,0.6,5,54,0.09926470588235294
100,4,ring,0.6,6,36,0.0661764705882353
100,4,ring,0.6,7,33,0.06066176470588235
100,4,ring,0.6,8,29,0.05330882352941176
100,4,ring,0.6,9,21,0.03860294117647059
100,4,ring,0.6,10,24,0.04411764705882353
100,4,ring,0.6,11,13,0.02389705882352941
100,4,ring,0.6,12,10,0.01838235294117647
100,4,ring,0.6,13,10,0.01838235294117647
100,4,ring,0.6,14,10,0.01838235294117647
100,4,ring,0.6,15,6,0.011029411764705883
100,4,ring,0.6,16,5,0.009191176470588236
100,4,ring,0.6,17,6,0.011029411764705883
100,4,ring,0.6,18,4,0.007352941176470588
100,4,ring,0.6,19,3,0.0055147058823529415
100,4,ring,0.6,20,2,0.003676470588235294
100,4,ring,0.6,21,6,0.011029411764705883
100,4,ring,0.6,22,2,0.003676470588235294
100,4,ring,0.6,23,2,0.003676470588235294
100,4,ring,0.6,32,1,0.001838235294117647
100,4,ring,0.6,38,1,0.001838235294117647
100,4,ring,0.7,2,176,0.2834138486312399
100,4,ring,0.7,3,124,0.1996779388083736
100,4,ring,0.7,4,85,0.13687600644122383
100,4,ring,0.7,5,77,0.12399355877616747
100,4,ring,0.7,6,49,0.07890499194847021
100,4,ring,0.7,7,25,0.040257648953301126
100,4,ring,0.7,8,21,0.033816425120772944
100,4,ring,0.7,9,26,0.04186795491143317
100,4,ring,0.7,10,13,0.020933977455716585
100,4,ring,0.7,11,6,0.00966183574879227
100,4,ring,0.7,12,9,0.014492753623188406
100,4,ring,0.7,13,5,0.008051529790660225
100,4,ring,0.7,14,1,0.001610305958132045
100,4,ring,0.7,15,1,0.001610305958132045
100,4,ring,0.7,16,2,0.00322061191626409
100,4,ring,0.7,20,1,0.001610305958132045
100,4,ring,0.8,2,195,0.3987730061349693
100,4,ring,0.8,3,132,0.26993865030674846
100,4,ring,0.8,4,75,0.15337423312883436
100,4,ring,0.8,5,38,0.07770961145194274
100,4,ring,0.8,6,21,0.04294478527607362
100,4,ring,0.8,7,11,0.022494887525562373
100,4,ring,0.8,8,10,0.02044989775051125
100,4,ring,0.8,9,2,0.00408997955010225
100,4,ring,0.8,10,4,0.0081799591002045
100,4,ring,0.8,12,1,0.002044989775051125
100,4,ring,0.9,2,163,0.7086956521739131
100,4,ring,0.9,3,46,0.2
100,4,ring,0.9,4,16,0.06956521739130435
100,4,ring,0.9,5,4,0.017391304347826087
100,4,ring,0.9,6,1,0.004347826086956522
100,4,scale_free,0.1,2,1,0.5
100,4,scale_free,0.1,3,1,0.5
100,4,scale_free,0.2,2,7,0.875
100,4,scale_free,0.2,3,1,0.125
100,4,scale_free,0.3,2,8,0.5714285714285714
100,4,scale_free,0.3,3,4,0.2857142857142857
100,4,scale_free,0.3,4,2,0.14285714285714285
100,4,scale_free,0.4,2,13,0.8125
100,4,scale_free,0.4,3,1,0.0625
100,4,scale_free,0.4,33,1,0.0625
100,4,scale_free,0.4,36,1,0.0625
100,4,scale_free,0.5,2,11,0.1746031746031746
100,4,scale_free,0.5,3,1,0.015873015873015872
100,4,scale_free,0.5,4,1,0.015873015873015872
100,4,scale_free,0.5,31,3,0.047619047619047616
100,4,scale_free,0.5,32,1,0.015873015873015872
100,4,scale_free,0.5,33,1,0.015873015873015872
100,4,scale_free,0.5,34,2,0.031746031746031744
100,4,scale_free,0.5,35,5,0.07936507936507936
100,4,scale_free,0.5,36,4,0.06349206349206349
100,4,scale_free,0.5,37,5,0.07936507936507936
100,4,scale_free,0.5,38,5,0.07936507936507936
100,4,scale_free,0.5,39,5,0.07936507936507936
100,4,scale_free,0.5,40,8,0.12698412698412698
100,4,scale_free,0.5,41,3,0.047619047619047616
100,4,scale_free,0.5,42,3,0.047619047619047616
100,4,scale_free,0.5,43,4,0.06349206349206349
100,4,scale_free,0.5,45,1,0.015873015873015872
100,4,scale_free,0.6,2,15,0.13043478260869565
100,4,scale_free,0.6,3,3,0.02608695652173913
100,4,scale_free,0.6,26,1,0.008695652173913044
100,4,scale_free,0.6,27,1,0.008695652173913044
100,4,scale_free,0.6,28,1,0.008695652173913044
100,4,scale_free,0.6,29,4,0.034782608695652174
100,4,scale_free,0.6,30,4,0.034782608695652174
100,4,scale_free,0.6,31,9,0.0782608695652174
100,4,scale_free,0.6,32,9,0.0782608695652174
100,4,scale_free,0.6,33,14,0.12173913043478261
100,4,scale_free,0.6,34,8,0.06956521739130435
100,4,scale_free,0.6,35,17,0.14782608695652175
100,4,scale_free,0.6,36,14,0.12173913043478261
100,4,scale_free,0.6,37,9,0.0782608695652174
100,4,scale_free,0.6,38,3,0.02608695652173913
100,4,scale_free,0.6,39,3,0.02608695652173913
100,4,scale_free,0.7,2,19,0.152
100,4,scale_free,0.7,3,3,0.024
100,4,scale_free,0.7,4,2,0.016
100,4,scale_free,0.7,5,1,0.008
100,4,scale_free,0.7,7,1,0.008
100,4,scale_free,0.7,16,1,0.008
100,4,scale_free,0.7,20,1,0.008
100,4,scale_free,0.7,21,6,0.048
100,4,scale_free,0.7,22,1,0.008
100,4,scale_free,0.7,23,3,0.024
100,4,scale_free,0.7,24,10,0.08
100,4,scale_free,0.7,25,11,0.088
100,4,scale_free,0.7,26,14,0.112
100,4,scale_free,0.7,27,15,0.12
100,4,scale_free,0.7,28,20,0.16
100,4,scale_free,0.7,29,13,0.104
100,4,scale_free,0.7,30,4,0.032
100,4,scale_free,0.8,2,33,0.2357142857142857
100,4,scale_free,0.8,3,5,0.03571428571428571
100,4,scale_free,0.8,4,2,0.014285714285714285
100,4,scale_free,0.8,10,2,0.014285714285714285
100,4,scale_free,0.8,12,2,0.014285714285714285
100,4,scale_free,0.8,13,3,0.02142857142857143
100,4,scale_free,0.8,14,11,0.07857142857142857
100,4,scale_free,0.8,15,4,0.02857142857142857
100,4,scale_free,0.8,16,16,0.11428571428571428
100,4,scale_free,0.8,17,14,0.1
100,4,scale_free,0.8,18,19,0.1357142857142857
100,4,scale_free,0.8,19,18,0.12857142857142856
100,4,scale_free,0.8,20,11,0.07857142857142857
100,4,scale_free,0.9,2,57,0.32947976878612717
100,4,scale_free,0.9,3,22,0.12716763005780346
100,4,scale_free,0.9,4,22,0.12716763005780346
100,4,scale_free,0.9,5,15,0.08670520231213873
100,4,scale_free,0.9,6,9,0.05202312138728324
100,4,scale_free,0.9,7,16,0.09248554913294797
100,4,scale_free,0.9,8,15,0.08670520231213873
100,4,scale_free,0.9,9,8,0.046242774566473986
100,4,scale_free,0.9,10,9,0.05202312138728324
100,4,small_world,0.1,2,1,1.0
100,4,small_world,0.2,2,5,0.7142857142857143
100,4,small_world,0.2,3,1,0.14285714285714285
100,4,small_world,0.2,4,1,0.14285714285714285
100,4,small_world,0.3,2,17,0.5483870967741935
100,4,small_world,0.3,3,7,0.22580645161290322
100,4,small_world,0.3,4,5,0.16129032258064516
100,4,small_world,0.3,6,2,0.06451612903225806
100,4,small_world,0.4,2,43,0.5584415584415584
100,4,small_world,0.4,3,15,0.19480519480519481
100,4,small_world,0.4,4,6,0.07792207792207792
100,4,small_world,0.4,5,3,0.03896103896103896
100,4,small_world,0.4,6,4,0.05194805194805195
100,4,small_world,0.4,7,3,0.03896103896103896
100,4,small_world,0.4,9,2,0.025974025974025976
100,4,small_world,0.4,12,1,0.012987012987012988
