topology,metric,comparisons,equivalent_comparisons,equivalence_rate,mean_absolute_difference,max_absolute_difference
ring,direct_recovery_rate,18,14,0.7777777777777778,0.03832348985890653,0.135
ring,hlcp_rank_attackable_rate,18,12,0.6666666666666666,0.03641969797178131,0.200875
ring,hssp_eligible_rate,18,10,0.5555555555555556,0.04785888447971782,0.15883333333333335
ring,hssp_rank_attackable_rate,18,12,0.6666666666666666,0.03674516093474427,0.2085
ring,hssp_tractable_attackable_rate,18,9,0.5,0.20761645723104058,0.7067500000000002
ring,max_core_fraction,18,6,0.3333333333333333,0.2590926366843033,0.6381666666666667
scale_free,direct_recovery_rate,18,14,0.7777777777777778,0.025529100529100526,0.126
scale_free,hlcp_rank_attackable_rate,18,10,0.5555555555555556,0.14595481701940038,0.6526666666666666
scale_free,hssp_eligible_rate,18,10,0.5555555555555556,0.04270864197530863,0.14839999999999998
scale_free,hssp_rank_attackable_rate,18,11,0.6111111111111112,0.14449972442680775,0.6526666666666666
scale_free,hssp_tractable_attackable_rate,18,13,0.7222222222222222,0.04584972442680776,0.3739999999999999
scale_free,max_core_fraction,18,9,0.5,0.05366093474426808,0.21999999999999997
small_world,direct_recovery_rate,18,16,0.8888888888888888,0.024484898589065256,0.06150000000000002
small_world,hlcp_rank_attackable_rate,18,13,0.7222222222222222,0.026082727072310408,0.15800000000000003
small_world,hssp_eligible_rate,18,9,0.5,0.032716655643738976,0.07550000000000001
small_world,hssp_rank_attackable_rate,18,13,0.7222222222222222,0.026263018077601414,0.15050000000000005
small_world,hssp_tractable_attackable_rate,18,11,0.6111111111111112,0.11389588844797179,0.5255000000000001
small_world,max_core_fraction,18,8,0.4444444444444444,0.13051879409171077,0.41325
