num_nodes,mean_degree,trial,topology,graph_seed,num_edges,mean_degree_observed,degree_std,average_clustering,average_shortest_path
100,4,0,er,715167091,200,4.0,1.8920887928424501,0.03484920634920636,3.416969696969697
100,4,0,ring,711160435,200,4.0,0.0,0.5,12.878787878787879
100,4,0,small_world,1498886326,200,4.0,0.6633249580710799,0.32,4.774141414141414
100,4,0,scale_free,4022224304,200,4.0,3.9774363602702683,0.14213017680190354,2.9894949494949494
100,4,1,er,2385393977,200,4.0,1.772004514666935,0.018174603174603177,3.4383838383838383
100,4,1,ring,3452712994,200,4.0,0.0,0.5,12.878787878787879
100,4,1,small_world,4030097555,200,4.0,0.565685424949238,0.3790000000000001,5.22
100,4,1,scale_free,281934289,200,4.0,3.6359317925395684,0.12542006283825505,3.00040404040404
100,4,2,er,131328127,200,4.0,1.8384776310850235,0.019611111111111107,3.376161616161616
100,4,2,ring,1791254634,200,4.0,0.0,0.5,12.878787878787879
100,4,2,small_world,3334402313,200,4.0,0.6928203230275509,0.37199999999999994,4.629090909090909
100,4,2,scale_free,3635615700,200,4.0,3.605551275463989,0.12405584839996604,2.9832323232323232
100,4,3,er,3209300972,200,4.0,1.7776388834631178,0.03753968253968254,3.4482828282828284
100,4,3,ring,2059798190,200,4.0,0.0,0.5,12.878787878787879
100,4,3,small_world,1330029325,200,4.0,0.6,0.4209999999999999,5.135353535353535
100,4,3,scale_free,2404430563,200,4.0,3.340658617698013,0.09909899749373435,3.0913131313131315
100,4,4,er,516042269,200,4.0,2.0248456731316584,0.025023809523809525,3.394949494949495
100,4,4,ring,1257709777,200,4.0,0.0,0.5,12.878787878787879
100,4,4,small_world,441097495,200,4.0,0.6324555320336759,0.39000000000000007,5.1042424242424245
100,4,4,scale_free,2899696625,200,4.0,2.973213749463701,0.10235264735264735,3.1313131313131315
100,4,5,er,467112343,200,4.0,1.6613247725836149,0.05386507936507935,3.4931313131313133
100,4,5,ring,2991957131,200,4.0,0.0,0.5,12.878787878787879
100,4,5,small_world,241096587,200,4.0,0.6,0.34700000000000003,4.7973737373737375
