sg_idx,case,sample_rank,recon_index,mat,node,row_type,matched_mse_mean,matched_mse_node,feat_bin_mse,case_recover_mse_mean,case_recover_mse_var,case_feat_bin_mse_mean,case_feat_bin_mse_var
0,case1_exact_pattern,1,1,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 6.0 7.0 0.0 0.0 6.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 1.0 0.0 0.0 3.0 1.0]],2,node,1.2633687481007968e-08,4.308826909252263e-08,0.0,,,,
0,case1_exact_pattern,1,1,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 6.0 7.0 0.0 0.0 6.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 1.0 0.0 0.0 3.0 1.0]],3,node,1.2633687481007968e-08,7.4464808315092405e-09,0.0,,,,
0,case1_exact_pattern,1,1,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 6.0 7.0 0.0 0.0 6.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 1.0 0.0 0.0 3.0 1.0]],6,node,1.2633687481007968e-08,6.574843002482676e-34,0.0,,,,
0,case1_exact_pattern,1,1,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 6.0 7.0 0.0 0.0 6.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 1.0 0.0 0.0 3.0 1.0]],9,node,1.2633687481007968e-08,2.370061148869707e-34,0.0,,,,
0,case1_exact_pattern,1,1,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 6.0 7.0 0.0 0.0 6.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 1.0 0.0 0.0 3.0 1.0]],mean,sample_mean,1.2633687481007968e-08,1.2633687481007968e-08,0.0,,,,
0,case1_exact_pattern,2,2,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 5.0 7.0 0.0 0.0 5.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 2.0 0.0 0.0 3.0 2.0]],2,node,1.0109617749604307e-08,3.77577378990739e-08,0.0,,,,
0,case1_exact_pattern,2,2,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 5.0 7.0 0.0 0.0 5.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 2.0 0.0 0.0 3.0 2.0]],3,node,1.0109617749604307e-08,2.680733099343326e-09,0.0,,,,
0,case1_exact_pattern,2,2,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 5.0 7.0 0.0 0.0 5.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 2.0 0.0 0.0 3.0 2.0]],6,node,1.0109617749604307e-08,2.931441954847051e-35,0.0,,,,
0,case1_exact_pattern,2,2,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 5.0 7.0 0.0 0.0 5.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 2.0 0.0 0.0 3.0 2.0]],9,node,1.0109617749604307e-08,8.104075594326953e-34,0.0,,,,
0,case1_exact_pattern,2,2,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 5.0 7.0 0.0 0.0 5.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 2.0 0.0 0.0 3.0 2.0]],mean,sample_mean,1.0109617749604307e-08,1.0109617749604307e-08,0.0,,,,
0,case1_exact_pattern,3,3,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 4.0 7.0 0.0 0.0 4.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 3.0 0.0 0.0 3.0 3.0]],2,node,1.3521777956291097e-08,5.408711182516439e-08,0.0,,,,
0,case1_exact_pattern,3,3,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 4.0 7.0 0.0 0.0 4.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 3.0 0.0 0.0 3.0 3.0]],3,node,1.3521777956291097e-08,3.149196225408508e-34,0.0,,,,
0,case1_exact_pattern,3,3,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 4.0 7.0 0.0 0.0 4.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 3.0 0.0 0.0 3.0 3.0]],6,node,1.3521777956291097e-08,4.598687485095153e-34,0.0,,,,
0,case1_exact_pattern,3,3,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 4.0 7.0 0.0 0.0 4.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 3.0 0.0 0.0 3.0 3.0]],9,node,1.3521777956291097e-08,1.1165719732215372e-33,0.0,,,,
0,case1_exact_pattern,3,3,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 4.0 7.0 0.0 0.0 4.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 3.0 0.0 0.0 3.0 3.0]],mean,sample_mean,1.3521777956291097e-08,1.3521777956291097e-08,0.0,,,,
0,case1_exact_pattern,4,4,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 3.0 7.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],2,node,3.840408444421511e-08,1.461698569453512e-07,0.365,,,,
0,case1_exact_pattern,4,4,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 3.0 7.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],3,node,3.840408444421511e-08,7.446480831509231e-09,0.0,,,,
0,case1_exact_pattern,4,4,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 3.0 7.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],6,node,3.840408444421511e-08,1.0034871528998915e-34,0.0,,,,
0,case1_exact_pattern,4,4,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 3.0 7.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],9,node,3.840408444421511e-08,5.94219286366781e-34,0.0,,,,
0,case1_exact_pattern,4,4,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 3.0 7.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],mean,sample_mean,3.840408444421511e-08,3.840408444421511e-08,0.09125,,,,
