topology,trial,n_honest,n_corrupt,graph_attempts,scale_factor,max_B,found_nonempty,found_num_vectors,true_weights_all_found,true_weights_matched,case1_num_solutions,case2_num_solutions,case3_num_solutions,step1_time,step2_time
1,1,4,6,1,9,2,True,16,True,4,,2,120,0.126755,0.001178
2,1,4,6,1,7,2,True,6,True,4,,2,6,0.000871,0.00036
3,1,4,6,1,7,2,True,12,True,4,,3,60,0.000684,0.000648
4,1,4,6,2,7,2,True,12,True,4,,30,72,0.000608,0.000525
5,1,4,6,1,7,2,True,9,True,4,,16,30,0.000549,0.000447
6,1,4,6,1,6,2,True,12,True,4,,2,24,0.000623,0.000504
7,1,4,6,2,8,2,True,12,True,4,,2,12,0.000537,0.000503
8,1,4,6,1,7,2,True,10,True,4,,8,42,0.000642,0.000498
9,1,4,6,2,7,2,True,12,True,4,,6,96,0.001185,0.000557
10,1,4,6,1,7,2,True,5,True,4,,2,6,0.000644,0.000302
