topology,trial,attack_success,found_num_vectors,true_weights_matched,step1_time,step2_time
1,1,True,1104,5,0.144903,0.200442
2,1,True,2896,5,0.001265,1.14843
3,1,True,3421,6,0.001915,1.561295
4,1,False,0,0,,
5,1,True,266,5,0.001633,0.02386
6,1,True,2182,6,0.001149,0.637464
7,1,True,5013,6,0.001253,3.046601
8,1,True,202,6,0.012073,0.017131
9,1,True,5210,6,0.001196,3.13748
10,1,True,880,6,0.001741,0.124701
11,1,False,0,0,0.002591,
12,1,True,5165,6,0.001557,3.598458
13,1,False,0,0,,
14,1,False,0,0,0.000687,
15,1,False,0,0,0.00088,
16,1,True,3484,6,0.001075,1.538699
17,1,False,0,0,0.001147,
18,1,True,288,3,0.001611,0.027445
19,1,True,20091,6,0.001205,51.136573
20,1,True,183,6,0.002114,0.014541
21,1,True,4958,6,0.001419,3.081381
22,1,True,18,2,0.001141,0.001319
23,1,False,0,0,,
24,1,True,393,5,0.001609,0.033491
25,1,True,732,6,0.001294,0.097695
26,1,True,11992,6,0.001441,20.760622
27,1,True,575,6,0.001142,0.059206
28,1,False,0,0,0.000735,
29,1,True,2530,6,0.001014,0.858032
30,1,True,242,6,0.00148,0.020846
31,1,True,351,6,0.000999,0.030371
32,1,True,158,6,0.001382,0.011613
33,1,True,2592,6,0.001373,0.845348
34,1,True,4168,6,0.001128,2.250747
35,1,True,1947,6,0.001119,0.502058
36,1,True,10262,6,0.001077,12.664041
37,1,True,3392,6,0.00134,1.621629
38,1,True,13392,6,0.001237,25.626365
39,1,True,710,6,0.00319,0.110651
40,1,True,206,6,0.001258,0.01946
41,1,True,784,6,0.001194,0.139489
42,1,True,315,5,0.001741,0.032369
43,1,False,0,0,0.010344,
44,1,True,3633,6,0.003088,1.990737
45,1,True,1523,6,0.001466,0.371237
46,1,True,621,6,0.001736,0.0848
47,1,True,214,6,0.001401,0.019932
48,1,True,19392,6,0.00127,59.762069
49,1,True,8333,6,0.002695,9.882375
50,1,True,3160,6,0.001862,1.553195
51,1,False,0,0,0.012822,
52,1,True,745,6,0.002494,0.096713
53,1,True,3720,6,0.001496,1.951354
54,1,True,314,6,0.001162,0.029743
55,1,True,529,6,0.001856,0.12692
56,1,True,2232,6,0.001227,0.774373
57,1,False,0,0,0.004585,
58,1,True,14040,6,0.005646,25.43299
59,1,True,8710,6,0.001133,10.018918
60,1,True,2912,6,0.001074,1.049414
61,1,True,15190,6,0.001116,28.954733
62,1,True,4480,6,0.001076,2.265747
63,1,True,6340,6,0.001166,5.155309
64,1,True,4773,6,0.001101,2.770834
65,1,True,8256,6,0.00116,9.321123
66,1,False,0,0,0.001471,
67,1,True,798,6,0.001163,0.102382
68,1,True,2149,6,0.001076,0.548704
69,1,True,252,6,0.001198,0.022103
70,1,True,3424,5,0.001044,1.405438
71,1,True,1072,4,0.001048,0.206524
72,1,True,15624,6,0.001108,34.940405
73,1,True,1488,6,0.001677,0.353624
74,1,True,342,6,0.001779,0.034911
75,1,False,0,0,0.002694,
76,1,True,2640,6,0.001563,0.971929
77,1,True,4112,6,0.0014,2.371517
78,1,False,0,0,0.009485,
79,1,True,1265,6,0.003083,0.301665
80,1,True,261,6,0.002109,0.028546
81,1,True,352,6,0.001232,0.03734
82,1,False,0,0,0.013173,
83,1,True,712,6,0.002942,0.106099
84,1,True,372,6,0.002141,0.042438
85,1,True,2135,6,0.002269,0.767806
86,1,True,568,6,0.001261,0.0707
87,1,True,1248,6,0.001869,0.265105
88,1,True,244,5,0.001363,0.022213
89,1,True,242,6,0.001512,0.024476
90,1,True,1172,6,0.001178,0.232819
91,1,True,2578,6,0.001157,0.948966
92,1,False,0,0,0.000943,
93,1,True,15744,6,0.00222,33.877933
94,1,True,180,5,0.00116,0.014612
95,1,True,4056,6,0.001103,2.084753
96,1,True,4816,6,0.001563,2.944539
97,1,True,947,6,0.00145,0.148475
98,1,True,11912,6,0.001134,19.610861
99,1,True,2067,6,0.00149,0.682086
100,1,True,36,2,0.001741,0.003389
