topology,trial,attack_success,found_num_vectors,true_weights_matched,step1_time,step2_time
1,1,True,107,9,0.122059,0.012559
2,1,True,224,9,0.003441,0.026914
3,1,False,0,0,,
4,1,True,72,9,0.002315,0.00688
5,1,True,83,9,0.00144,0.009349
6,1,True,134,9,0.00119,0.013193
7,1,True,384,9,0.001554,0.048397
8,1,True,36,9,0.001393,0.003894
9,1,True,136,9,0.001126,0.014096
10,1,True,130,9,0.001678,0.014212
11,1,True,73,9,0.001676,0.006343
12,1,True,58,9,0.001266,0.006342
13,1,True,64,9,0.00118,0.006884
14,1,True,94,9,0.001288,0.009068
15,1,True,168,9,0.001433,0.019675
16,1,True,108,9,0.001374,0.010657
17,1,True,150,9,0.005315,0.024852
18,1,True,174,9,0.001563,0.018864
19,1,True,84,9,0.001193,0.008446
20,1,True,120,9,0.001243,0.011653
21,1,True,156,9,0.001298,0.017677
22,1,True,70,9,0.001176,0.006596
23,1,True,168,9,0.00105,0.017929
24,1,True,57,9,0.001349,0.005359
25,1,False,0,0,,
26,1,False,0,0,,
27,1,True,130,9,0.001307,0.013333
28,1,True,58,9,0.0013,0.005795
29,1,True,120,9,0.001301,0.012849
30,1,True,108,9,0.001395,0.011052
31,1,True,96,9,0.001406,0.01019
32,1,True,57,9,0.001148,0.005585
33,1,True,208,9,0.001236,0.020799
34,1,True,74,9,0.00121,0.007177
35,1,True,56,9,0.005798,0.006178
36,1,True,80,9,0.001311,0.00788
37,1,True,88,9,0.001211,0.008875
38,1,True,57,9,0.001222,0.005533
39,1,True,216,9,0.001162,0.024044
40,1,True,128,9,0.001523,0.013407
41,1,True,108,9,0.001289,0.011442
42,1,True,220,9,0.001247,0.024318
43,1,False,0,0,,
44,1,True,104,9,0.001284,0.010532
45,1,True,128,9,0.001128,0.012894
46,1,True,70,9,0.00128,0.0074
47,1,True,224,9,0.00127,0.026758
48,1,True,116,9,0.001554,0.010547
49,1,True,168,9,0.001118,0.018505
50,1,True,128,9,0.001042,0.011887
51,1,True,48,9,0.001284,0.004474
52,1,True,80,9,0.00139,0.008516
53,1,True,42,9,0.001179,0.004048
54,1,True,80,9,0.001179,0.007675
55,1,False,0,0,,
56,1,True,116,9,0.001439,0.01331
57,1,True,39,9,0.00161,0.004212
58,1,True,122,9,0.001484,0.012169
59,1,True,70,9,0.001593,0.006972
60,1,True,52,9,0.001625,0.005598
61,1,False,0,0,,
62,1,True,110,9,0.001303,0.010879
63,1,True,142,9,0.001443,0.014957
64,1,True,80,9,0.001125,0.007706
65,1,True,124,9,0.001139,0.01191
66,1,True,84,9,0.001316,0.008116
67,1,True,94,9,0.001254,0.009538
68,1,True,80,9,0.001184,0.008177
69,1,True,144,9,0.001132,0.015152
70,1,True,94,9,0.00138,0.010124
71,1,False,0,0,,
72,1,True,76,9,0.001382,0.008301
73,1,True,84,9,0.001339,0.009049
74,1,True,67,9,0.001026,0.00588
75,1,True,108,9,0.00189,0.01145
76,1,True,160,9,0.001268,0.015595
77,1,True,94,9,0.001166,0.00903
78,1,True,256,9,0.001156,0.030671
79,1,True,88,9,0.001132,0.007984
80,1,True,100,9,0.001338,0.010757
81,1,True,192,9,0.001302,0.018794
82,1,True,72,9,0.001167,0.007245
83,1,True,104,9,0.001212,0.011689
84,1,True,81,9,0.001772,0.00962
85,1,True,104,9,0.001175,0.010218
86,1,True,160,9,0.001108,0.017006
87,1,True,136,9,0.00117,0.014192
88,1,True,68,9,0.001263,0.007018
89,1,True,62,9,0.001133,0.005585
90,1,True,135,9,0.001621,0.015722
91,1,True,108,9,0.001311,0.012781
92,1,True,192,9,0.001142,0.021417
93,1,True,224,9,0.001347,0.021856
94,1,True,240,9,0.001143,0.027497
95,1,True,58,9,0.001323,0.005534
96,1,True,98,9,0.00111,0.009249
97,1,True,43,9,0.001214,0.004072
98,1,True,160,9,0.001064,0.016689
99,1,True,280,9,0.001006,0.029883
100,1,True,140,9,0.00122,0.013977
