B,Q_bits,aggregation_max_abs,attack_coordinates,batch_size,checkpoint_t0_5,checkpoint_t1,clean_all_found,clean_n_candidates,clean_recall,clean_status,coordinate_seed,coordinate_selection,dataset,error,error_mean_abs,error_p95_abs,error_zero_fraction,exact_step1_columns,l,m,max_row_l1,model_abs_bound,model_architecture,model_dimension,n,network_scale_factor,noisy_all_found,noisy_n_candidates,noisy_recall,noisy_status,noisy_step1_columns,noisy_step1_rows,noisy_tt_step1,observed_exact_all_found,observed_exact_n_candidates,observed_exact_recall,observed_exact_status,paper_corrupt_ratio,paper_num_edges,paper_num_nodes,quantizer,r,resample_count,rho_assumed,rho_bound_valid,rho_quantization,rho_theoretical,rho_true,rho_true_all_sampled,scale
7,100,0.0,2927;3029;736;465,1,model_sentiment140_ni1_N10_t0_5_z0_e1.pkl,model_sentiment140_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,sentiment140,,12.333333333333334,15.75,0.0,4,4,6,24,0.0272583983,logistic_regression,3074,4,24,False,4096,0.5,completed,1,2,0.0010329999999999506,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,1,0,26,True,25,26,16,16,10000
7,100,0.0,2927;3029;736;465,1,model_sentiment140_ni1_N10_t0_5_z0_e1.pkl,model_sentiment140_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,sentiment140,,10.5,15.45,0.0,4,4,6,24,0.0272583983,logistic_regression,3074,4,24,False,4096,0.5,completed,2,2,0.001040000000000041,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,2,0,26,True,25,26,16,16,10000
7,100,0.0,2927;3029;736;465,1,model_sentiment140_ni1_N10_t0_5_z0_e1.pkl,model_sentiment140_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,sentiment140,,10.333333333333334,15.849999999999998,0.0,4,4,6,24,0.0272583983,logistic_regression,3074,4,24,False,4096,0.5,completed,4,2,0.0010989999999999611,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,4,0,26,True,25,26,16,16,10000
7,100,0.0,2927;3029;736;465,1,model_sentiment140_ni1_N10_t0_5_z0_e1.pkl,model_sentiment140_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,sentiment140,,14.666666666666666,17.5,0.0,4,4,6,24,0.0272583983,logistic_regression,3074,4,24,False,1068,0.0,completed,1,2,0.0010259999999999714,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,1,0,26,True,25,26,18,18,1000000
7,100,0.0,2927;3029;736;465,1,model_sentiment140_ni1_N10_t0_5_z0_e1.pkl,model_sentiment140_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,sentiment140,,11.833333333333334,16.9,0.0,4,4,6,24,0.0272583983,logistic_regression,3074,4,24,True,1152,1.0,completed,2,2,0.0010420000000000984,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,2,0,26,True,25,26,18,18,1000000
7,100,0.0,2927;3029;736;465,1,model_sentiment140_ni1_N10_t0_5_z0_e1.pkl,model_sentiment140_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,sentiment140,,10.958333333333334,16.0,0.0,4,4,6,24,0.0272583983,logistic_regression,3074,4,24,True,1152,1.0,completed,4,2,0.0011830000000000451,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,4,0,26,True,25,26,18,18,1000000
7,100,0.0,2927;3029;736;465,1,model_sentiment140_ni1_N10_t0_5_z0_e1.pkl,model_sentiment140_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,sentiment140,,13.666666666666666,15.75,0.0,4,4,6,24,0.0272583983,logistic_regression,3074,4,24,True,1152,1.0,completed,1,2,0.0010489999999999666,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,1,0,26,True,25,26,16,18,100000000
7,100,0.0,2927;3029;736;465,1,model_sentiment140_ni1_N10_t0_5_z0_e1.pkl,model_sentiment140_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,sentiment140,,13.916666666666666,16.45,0.0,4,4,6,24,0.0272583983,logistic_regression,3074,4,24,True,1152,1.0,completed,2,2,0.0010050000000000336,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,2,0,26,True,25,26,17,18,100000000
7,100,0.0,2927;3029;736;465,1,model_sentiment140_ni1_N10_t0_5_z0_e1.pkl,model_sentiment140_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,sentiment140,,13.166666666666666,17.0,0.0,4,4,6,24,0.0272583983,logistic_regression,3074,4,24,True,1152,1.0,completed,4,2,0.0012459999999999694,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,4,0,26,True,25,26,18,18,100000000
7,100,0.0,2927;3029;736;465,1,model_sentiment140_ni1_N10_t0_5_z0_e1.pkl,model_sentiment140_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,sentiment140,,0.16666666666666666,0.75,0.875,4,4,6,24,0.0272583983,logistic_regression,3074,4,24,True,1152,1.0,completed,1,2,0.0009470000000000312,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,1,0,26,True,25,26,1,1,10000000000
7,100,0.0,2927;3029;736;465,1,model_sentiment140_ni1_N10_t0_5_z0_e1.pkl,model_sentiment140_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,sentiment140,,0.08333333333333333,0.4499999999999993,0.875,4,4,6,24,0.0272583983,logistic_regression,3074,4,24,True,1152,1.0,completed,2,2,0.0010900000000000354,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,2,0,26,True,25,26,1,1,10000000000
7,100,0.0,2927;3029;736;465,1,model_sentiment140_ni1_N10_t0_5_z0_e1.pkl,model_sentiment140_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,sentiment140,,0.125,1.0,0.875,4,4,6,24,0.0272583983,logistic_regression,3074,4,24,True,1152,1.0,completed,4,2,0.0011599999999999389,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,4,0,26,True,25,26,1,1,10000000000
7,100,0.0,124446;78712;87273;160,1,model_purchase_ni1_N10_t0_5_z0_e1.pkl,model_purchase_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,purchase,,15.5,17.0,0.0,4,4,6,24,0.068533667,purchase_fc(600-256-100),179556,4,24,False,4096,0.5,completed,1,2,0.0008970000000000367,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,1,4,26,True,25,26,17,17,10000
7,100,0.0,124446;78712;87273;160,1,model_purchase_ni1_N10_t0_5_z0_e1.pkl,model_purchase_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,purchase,,13.25,17.0,0.0,4,4,6,24,0.068533667,purchase_fc(600-256-100),179556,4,24,False,4096,0.5,completed,2,2,0.0010430000000000161,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,2,4,26,True,25,26,17,17,10000
7,100,0.0,124446;78712;87273;160,1,model_purchase_ni1_N10_t0_5_z0_e1.pkl,model_purchase_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,purchase,,12.041666666666666,17.0,0.0,4,4,6,24,0.068533667,purchase_fc(600-256-100),179556,4,24,False,4096,0.5,completed,4,2,0.0011780000000000124,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,4,4,26,True,25,26,17,17,10000
7,100,0.0,124446;78712;87273;160,1,model_purchase_ni1_N10_t0_5_z0_e1.pkl,model_purchase_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,purchase,,16.166666666666668,19.0,0.0,4,4,6,24,0.068533667,purchase_fc(600-256-100),179556,4,24,False,4096,0.5,completed,1,2,0.0010510000000000241,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,1,4,26,True,25,26,19,23,1000000
7,100,0.0,124446;78712;87273;160,1,model_purchase_ni1_N10_t0_5_z0_e1.pkl,model_purchase_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,purchase,,13.666666666666666,19.0,0.0,4,4,6,24,0.068533667,purchase_fc(600-256-100),179556,4,24,False,4096,0.5,completed,2,2,0.0010379999999999834,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,2,4,26,True,25,26,19,23,1000000
7,100,0.0,124446;78712;87273;160,1,model_purchase_ni1_N10_t0_5_z0_e1.pkl,model_purchase_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,purchase,,17.0,22.549999999999994,0.0,4,4,6,24,0.068533667,purchase_fc(600-256-100),179556,4,24,True,1152,1.0,completed,4,2,0.0011300000000000754,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,4,4,26,True,25,26,23,23,1000000
7,100,0.0,124446;78712;87273;160,1,model_purchase_ni1_N10_t0_5_z0_e1.pkl,model_purchase_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,purchase,,4.333333333333333,5.0,0.0,4,4,6,24,0.068533667,purchase_fc(600-256-100),179556,4,24,False,4096,0.5,completed,1,2,0.0009550000000000392,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,1,4,26,True,25,26,5,20,100000000
7,100,0.0,124446;78712;87273;160,1,model_purchase_ni1_N10_t0_5_z0_e1.pkl,model_purchase_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,purchase,,10.25,20.0,0.0,4,4,6,24,0.068533667,purchase_fc(600-256-100),179556,4,24,False,4096,0.5,completed,2,2,0.0010669999999999291,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,2,4,26,True,25,26,20,20,100000000
7,100,0.0,124446;78712;87273;160,1,model_purchase_ni1_N10_t0_5_z0_e1.pkl,model_purchase_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,purchase,,12.583333333333334,19.699999999999996,0.0,4,4,6,24,0.068533667,purchase_fc(600-256-100),179556,4,24,True,1152,1.0,completed,4,2,0.0010980000000000434,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,4,4,26,True,25,26,20,20,100000000
7,100,0.0,124446;78712;87273;160,1,model_purchase_ni1_N10_t0_5_z0_e1.pkl,model_purchase_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,purchase,,0.16666666666666666,0.75,0.75,4,4,6,24,0.068533667,purchase_fc(600-256-100),179556,4,24,False,4096,0.5,completed,1,2,0.0010089999999999266,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,1,4,26,True,25,26,1,1,10000000000
7,100,0.0,124446;78712;87273;160,1,model_purchase_ni1_N10_t0_5_z0_e1.pkl,model_purchase_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,purchase,,0.5,1.0,0.75,4,4,6,24,0.068533667,purchase_fc(600-256-100),179556,4,24,False,4096,0.5,completed,2,2,0.0010989999999999611,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,2,4,26,True,25,26,1,1,10000000000
7,100,0.0,124446;78712;87273;160,1,model_purchase_ni1_N10_t0_5_z0_e1.pkl,model_purchase_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,purchase,,0.25,1.0,0.75,4,4,6,24,0.068533667,purchase_fc(600-256-100),179556,4,24,True,1152,1.0,completed,4,2,0.0010569999999999746,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,4,4,26,True,25,26,1,1,10000000000
7,100,0.0,1145816;55544;278345;104552,1,model_avg_ni1_N10_t0_5_z0_e1.pkl,model_avg_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,cifar,,16.0,18.75,0.0,4,4,6,24,0.1923869107,cnn_cifar(32-64-128-512-10),1147466,4,24,False,4096,0.5,completed,1,2,0.0009449999999997516,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,1,145,26,True,25,26,19,19,10000
7,100,0.0,1145816;55544;278345;104552,1,model_avg_ni1_N10_t0_5_z0_e1.pkl,model_avg_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,cifar,,13.583333333333334,19.0,0.0,4,4,6,24,0.1923869107,cnn_cifar(32-64-128-512-10),1147466,4,24,False,4096,0.5,completed,2,2,0.0009820000000000384,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,2,145,26,True,25,26,19,19,10000
7,100,0.0,1145816;55544;278345;104552,1,model_avg_ni1_N10_t0_5_z0_e1.pkl,model_avg_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,cifar,,14.25,18.849999999999998,0.0,4,4,6,24,0.1923869107,cnn_cifar(32-64-128-512-10),1147466,4,24,False,4096,0.5,completed,4,2,0.0011440000000000339,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,4,145,26,True,25,26,19,19,10000
7,100,0.0,821586;502435;502681;499910,1,model_avg_ni1_N10_t0_5_z0_e1.pkl,model_avg_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,cifar,,12.0,12.0,0.0,4,4,6,24,0.1923869107,cnn_cifar(32-64-128-512-10),1147466,4,24,False,4096,0.5,completed,1,2,0.0009179999999999744,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,1,7,26,True,25,26,12,16,1000000
7,100,0.0,821586;502435;502681;499910,1,model_avg_ni1_N10_t0_5_z0_e1.pkl,model_avg_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,cifar,,10.75,12.45,0.0,4,4,6,24,0.1923869107,cnn_cifar(32-64-128-512-10),1147466,4,24,False,2752,0.25,completed,2,2,0.001052000000000053,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,2,7,26,True,25,26,13,16,1000000
7,100,0.0,821586;502435;502681;499910,1,model_avg_ni1_N10_t0_5_z0_e1.pkl,model_avg_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,cifar,,12.583333333333334,16.0,0.0,4,4,6,24,0.1923869107,cnn_cifar(32-64-128-512-10),1147466,4,24,False,1776,0.0,completed,4,2,0.001102999999999854,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,4,7,26,True,25,26,16,16,1000000
7,100,0.0,821586;502435;502681;499910,1,model_avg_ni1_N10_t0_5_z0_e1.pkl,model_avg_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,cifar,,1.0,1.0,0.25,4,4,6,24,0.1923869107,cnn_cifar(32-64-128-512-10),1147466,4,24,False,4096,0.5,completed,1,2,0.0009699999999999154,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,1,7,26,True,25,26,1,17,100000000
7,100,0.0,821586;502435;502681;499910,1,model_avg_ni1_N10_t0_5_z0_e1.pkl,model_avg_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,cifar,,6.666666666666667,14.0,0.25,4,4,6,24,0.1923869107,cnn_cifar(32-64-128-512-10),1147466,4,24,True,1152,1.0,completed,2,2,0.0010589999999999211,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,2,7,26,True,25,26,14,17,100000000
7,100,0.0,821586;502435;502681;499910,1,model_avg_ni1_N10_t0_5_z0_e1.pkl,model_avg_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,cifar,,6.75,15.0,0.25,4,4,6,24,0.1923869107,cnn_cifar(32-64-128-512-10),1147466,4,24,True,1152,1.0,completed,4,2,0.0011319999999999109,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,4,7,26,True,25,26,17,17,100000000
7,100,0.0,821586;502435;502681;499910,1,model_avg_ni1_N10_t0_5_z0_e1.pkl,model_avg_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,cifar,,0.6666666666666666,1.0,0.5416666666666666,4,4,6,24,0.1923869107,cnn_cifar(32-64-128-512-10),1147466,4,24,False,4096,0.5,completed,1,2,0.0009470000000000312,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,1,7,26,True,25,26,1,3,10000000000
7,100,0.0,821586;502435;502681;499910,1,model_avg_ni1_N10_t0_5_z0_e1.pkl,model_avg_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,cifar,,0.3333333333333333,1.0,0.5416666666666666,4,4,6,24,0.1923869107,cnn_cifar(32-64-128-512-10),1147466,4,24,True,1152,1.0,completed,2,2,0.0009729999999998906,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,2,7,26,True,25,26,1,3,10000000000
7,100,0.0,821586;502435;502681;499910,1,model_avg_ni1_N10_t0_5_z0_e1.pkl,model_avg_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,n_honest_default,cifar,,0.75,3.0,0.5416666666666666,4,4,6,24,0.1923869107,cnn_cifar(32-64-128-512-10),1147466,4,24,True,1152,1.0,completed,4,2,0.0011199999999997878,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,4,7,26,True,25,26,3,3,10000000000
