B,Q_bits,aggregation_max_abs,attack_coordinates,batch_size,checkpoint_t0_5,checkpoint_t1,clean_all_found,clean_n_candidates,clean_recall,clean_status,coordinate_seed,coordinate_selection,dataset,error,error_mean_abs,error_p95_abs,error_zero_fraction,exact_step1_columns,l,m,max_row_l1,model_abs_bound,model_architecture,model_dimension,n,network_scale_factor,noisy_all_found,noisy_n_candidates,noisy_recall,noisy_status,noisy_step1_columns,noisy_step1_rows,noisy_tt_step1,observed_exact_all_found,observed_exact_n_candidates,observed_exact_recall,observed_exact_status,paper_corrupt_ratio,paper_num_edges,paper_num_nodes,quantizer,r,resample_count,rho_assumed,rho_bound_valid,rho_quantization,rho_theoretical,rho_true,rho_true_all_sampled,scale
7,100,0.0,2923;1264;3029;2587;464;3026;1468;735,1,model_sentiment140_ni1_N10_t0_5_z0_e1.pkl,model_sentiment140_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,explicit_override,sentiment140,,11.020833333333334,17.0,0.0,4,8,6,24,0.0272583983,logistic_regression,3074,4,24,False,4096,0.5,completed,8,2,0.0015100000000001224,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,8,0,26,True,25,26,19,19,10000
7,100,0.0,2923;1264;3029;2587;464;3026;1468;735,1,model_sentiment140_ni1_N10_t0_5_z0_e1.pkl,model_sentiment140_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,explicit_override,sentiment140,,11.270833333333334,16.0,0.0,4,8,6,24,0.0272583983,logistic_regression,3074,4,24,True,1152,1.0,completed,8,2,0.001619000000000037,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,8,0,26,True,25,26,19,19,1000000
7,100,0.0,2923;1264;3029;2587;464;3026;1468;735,1,model_sentiment140_ni1_N10_t0_5_z0_e1.pkl,model_sentiment140_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,explicit_override,sentiment140,,11.270833333333334,16.0,0.0,4,8,6,24,0.0272583983,logistic_regression,3074,4,24,True,1152,1.0,completed,8,2,0.001471,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,8,0,26,True,25,26,17,17,100000000
7,100,0.0,2923;1264;3029;2587;464;3026;1468;735,1,model_sentiment140_ni1_N10_t0_5_z0_e1.pkl,model_sentiment140_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,explicit_override,sentiment140,,1.3333333333333333,5.0,0.6458333333333334,4,8,6,24,0.0272583983,logistic_regression,3074,4,24,True,1152,1.0,completed,8,2,0.001650999999999958,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,8,0,26,True,25,26,8,8,10000000000
7,100,0.0,87709;93127;85274;23133;73557;105566;30793;57933,1,model_purchase_ni1_N10_t0_5_z0_e1.pkl,model_purchase_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,explicit_override,purchase,,8.9375,20.65,0.10416666666666667,4,8,6,24,0.068533667,purchase_fc(600-256-100),179556,4,24,False,4096,0.5,completed,8,2,0.0015779999999999683,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,8,11,26,True,25,26,21,21,10000
7,100,0.0,171151;73933;177004;151230;27185;176979;85805;43052,1,model_purchase_ni1_N10_t0_5_z0_e1.pkl,model_purchase_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,explicit_override,purchase,,11.166666666666666,17.0,0.0,4,8,6,24,0.068533667,purchase_fc(600-256-100),179556,4,24,False,1776,0.25,completed,8,2,0.0015180000000000193,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,8,0,26,True,25,26,18,18,1000000
7,100,0.0,171151;73933;177004;151230;27185;176979;85805;43052,1,model_purchase_ni1_N10_t0_5_z0_e1.pkl,model_purchase_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,explicit_override,purchase,,13.104166666666666,19.299999999999997,0.0,4,8,6,24,0.068533667,purchase_fc(600-256-100),179556,4,24,True,1152,1.0,completed,8,2,0.0014939999999999953,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,8,0,26,True,25,26,20,20,100000000
7,100,0.0,171151;73933;177004;151230;27185;176979;85805;43052,1,model_purchase_ni1_N10_t0_5_z0_e1.pkl,model_purchase_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,explicit_override,purchase,,0.16666666666666666,1.0,0.8333333333333334,4,8,6,24,0.068533667,purchase_fc(600-256-100),179556,4,24,True,1152,1.0,completed,8,2,0.001458999999999988,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,8,0,26,True,25,26,1,1,10000000000
7,100,0.0,772526;667673;772211;45401;171013;756689;199108;677705,1,model_avg_ni1_N10_t0_5_z0_e1.pkl,model_avg_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,explicit_override,cifar,,12.291666666666666,19.0,0.0,4,8,6,24,0.1923869107,cnn_cifar(32-64-128-512-10),1147466,4,24,False,4096,0.5,completed,8,2,0.0014120000000001909,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,8,178,26,True,25,26,22,22,10000
7,100,0.0,795281;764000;962674;19045;1063500;571041;557722;377227,1,model_avg_ni1_N10_t0_5_z0_e1.pkl,model_avg_ni1_N10_t1_z0_e1.pkl,True,1152,1.0,completed,20260727,explicit_override,cifar,,9.708333333333334,18.0,0.125,4,8,6,24,0.1923869107,cnn_cifar(32-64-128-512-10),1147466,4,24,False,4096,0.5,completed,8,2,0.0014739999999999753,False,,0.0,error:AssertionError:Step 2 failed: not enough vectors found,0.6,20,10,truncate,8,2,26,True,25,26,21,21,1000000
