topology,trial,n_honest,n_corrupt,graph_attempts,scale_factor,max_B,found_nonempty,found_num_vectors,true_weights_all_found,true_weights_matched,case1_num_solutions,case2_num_solutions,case3_num_solutions,step1_time,step2_time
1,1,3,7,2,24,7,True,47,True,3,2,4,204,0.133022,0.002395
2,1,3,7,8,30,7,True,15,True,3,1,1,33,0.009878,0.00077
3,1,3,7,8,30,7,True,14,True,3,1,3,27,0.000837,0.000625
4,1,3,7,10,30,7,True,15,True,3,1,3,36,0.000772,0.00067
5,1,3,7,30,30,7,True,61,True,3,1,2,456,0.003051,0.002427
6,1,3,7,1,30,7,True,88,True,3,1,2,270,0.000936,0.003373
7,1,3,7,10,30,6,True,196,True,3,9,26,3480,0.001093,0.009402
8,1,3,7,6,35,8,True,35,True,3,1,2,129,0.000945,0.001764
9,1,3,7,3,30,7,False,0,False,0,,,,,
10,1,3,7,30,30,7,True,44,True,3,1,3,174,0.007832,0.001907
